CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,ACT5,SEC126,1,1
1,ACT4,SEC141,2,2
2,ACT2,SEC317,1,1
3,ACT3,SEC333,1,1
3,ACT1,SEC154,2,2
4,ACT4,SEC274,1,1
4,ACT3,SEC12,2,2
4,ACT3,SEC316,3,3
5,ACT4,SEC62,1,1
5,ACT1,SEC329,2,2
6,ACT1,SEC192,1,1
6,ACT5,SEC140,2,2
7,ACT2,SEC171,1,1
7,ACT1,SEC271,2,2
7,ACT4,SEC131,3,3
8,ACT1,SEC477,1,1
8,ACT2,SEC374,2,2
9,ACT2,SEC154,1,1
9,ACT1,SEC157,2,2
9,ACT4,SEC440,3,3
10,ACT1,SEC332,1,1
10,ACT1,SEC213,2,2
11,ACT5,SEC264,1,1
11,ACT4,SEC101,2,2
11,ACT1,SEC418,3,3
12,ACT3,SEC341,1,1
12,ACT5,SEC30,2,2
12,ACT2,SEC67,3,3
13,ACT5,SEC305,1,1
13,ACT4,SEC268,2,2
13,ACT1,SEC235,3,3
14,ACT2,SEC168,1,1
15,ACT3,SEC305,1,1
15,ACT5,SEC240,2,2
15,ACT1,SEC26,3,3
16,ACT2,SEC83,1,1
16,ACT2,SEC405,2,2
16,ACT3,SEC115,3,3
17,ACT4,SEC54,1,1
17,ACT1,SEC320,2,2
18,ACT3,SEC310,1,1
18,ACT2,SEC223,2,2
19,ACT4,SEC345,1,1
20,ACT1,SEC243,1,1
20,ACT1,SEC216,2,2
20,ACT4,SEC376,3,3
21,ACT4,SEC394,1,1
21,ACT1,SEC301,2,2
21,ACT2,SEC55,3,3
22,ACT5,SEC147,1,1
22,ACT5,SEC74,2,2
23,ACT3,SEC88,1,1
23,ACT5,SEC285,2,2
24,ACT3,SEC497,1,1
24,ACT2,SEC8,2,2
24,ACT5,SEC397,3,3
25,ACT5,SEC177,1,1
25,ACT4,SEC494,2,2
26,ACT5,SEC20,1,1
26,ACT4,SEC319,2,2
26,ACT1,SEC94,3,3
27,ACT4,SEC492,1,1
28,ACT5,SEC338,1,1
29,ACT1,SEC288,1,1
30,ACT2,SEC284,1,1
30,ACT2,SEC495,2,2
31,ACT3,SEC144,1,1
32,ACT3,SEC264,1,1
32,ACT2,SEC365,2,2
32,ACT4,SEC21,3,3
33,ACT3,SEC475,1,1
33,ACT3,SEC78,2,2
34,ACT1,SEC385,1,1
34,ACT5,SEC347,2,2
34,ACT2,SEC89,3,3
35,ACT1,SEC394,1,1
35,ACT2,SEC230,2,2
36,ACT3,SEC315,1,1
36,ACT4,SEC482,2,2
36,ACT1,SEC390,3,3
37,ACT2,SEC362,1,1
38,ACT2,SEC336,1,1
38,ACT2,SEC480,2,2
38,ACT1,SEC251,3,3
39,ACT3,SEC386,1,1
39,ACT5,SEC89,2,2
40,ACT3,SEC370,1,1
40,ACT4,SEC203,2,2
41,ACT4,SEC119,1,1
42,ACT3,SEC397,1,1
42,ACT5,SEC365,2,2
43,ACT2,SEC480,1,1
44,ACT5,SEC171,1,1
45,ACT1,SEC261,1,1
45,ACT4,SEC55,2,2
45,ACT3,SEC378,3,3
46,ACT5,SEC277,1,1
46,ACT2,SEC413,2,2
46,ACT5,SEC97,3,3
47,ACT3,SEC460,1,1
48,ACT5,SEC180,1,1
48,ACT3,SEC285,2,2
48,ACT4,SEC262,3,3
