ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,337,1,2025-12-24,1,20,25,46,1,562,True,False
2,193,3,2025-08-06,1,23,5,35,5,815,True,False
3,160,3,2025-09-18,1,9,1,22,10,1129,True,False
4,50,3,2026-02-15,1,19,22,40,9,531,True,False
5,99,3,2026-04-13,1,8,16,4,10,440,True,False
6,465,3,2025-11-20,1,31,1,17,2,1457,True,False
7,556,1,2026-04-23,1,11,20,31,6,733,True,False
8,296,2,2024-11-14,1,31,1,30,2,1164,True,False
9,95,1,2025-06-10,1,1,25,49,2,453,True,False
10,335,2,2025-04-16,1,2,26,43,3,1223,True,False
11,24,2,2026-03-13,1,3,13,19,4,1057,True,False
12,11,2,2026-02-01,1,28,13,31,5,1383,True,False
13,332,1,2024-12-17,1,1,24,29,10,624,True,False
14,962,1,2024-09-14,1,6,3,29,9,503,True,False
15,71,3,2025-08-24,1,25,14,24,9,1028,True,False
16,575,1,2025-09-15,1,12,4,41,2,264,True,False
17,519,2,2026-03-12,1,17,8,4,3,950,True,False
18,875,2,2024-12-10,1,20,16,18,7,270,True,False
19,15,3,2024-08-05,1,6,6,41,1,1359,True,False
20,936,3,2024-08-19,1,21,15,32,3,329,True,False
21,149,2,2024-12-09,1,5,24,38,7,303,True,False
22,719,1,2025-03-25,1,1,9,36,2,1294,True,False
23,790,1,2026-03-15,1,15,19,43,9,135,True,False
24,404,2,2026-03-08,1,25,5,14,1,915,True,False
25,742,2,2025-04-18,1,11,7,49,8,220,True,False
26,580,3,2025-09-10,1,5,26,21,4,1171,True,False
27,445,3,2026-01-12,1,14,25,20,3,1025,True,False
28,521,2,2025-08-24,1,23,22,41,4,1134,True,False
29,760,1,2024-07-07,1,8,25,36,9,220,True,False
30,153,1,2026-03-29,1,28,21,43,8,600,True,False
31,647,2,2025-04-13,1,2,4,11,1,173,True,False
32,805,3,2024-10-26,1,25,19,6,5,1043,True,False
33,437,1,2024-09-09,1,24,6,35,9,1333,True,False
34,122,1,2024-11-05,1,2,21,38,7,401,True,False
35,417,3,2025-05-15,1,27,10,26,1,1452,True,False
36,64,2,2025-04-07,1,10,16,5,4,67,True,False
37,213,1,2025-07-17,1,5,24,9,7,363,True,False
38,935,3,2025-04-14,1,6,12,34,10,582,True,False
39,773,3,2025-11-07,1,26,1,2,2,505,True,False
40,298,1,2025-01-26,1,7,3,34,2,1381,True,False
41,595,1,2026-06-03,1,19,23,1,8,1100,True,False
42,341,3,2025-04-26,1,7,10,3,1,1179,True,False
43,382,2,2025-01-30,1,13,25,5,2,964,True,False
44,828,3,2025-07-25,1,6,1,9,4,1243,True,False
45,34,3,2025-11-27,1,7,17,43,10,377,True,False
46,562,2,2024-08-30,1,12,12,8,4,390,True,False
47,925,3,2024-09-16,1,5,13,23,4,196,True,False
48,247,2,2025-05-02,1,29,20,34,1,115,True,False
49,532,2,2025-02-09,1,4,13,36,2,95,True,False
50,667,3,2025-10-23,1,14,16,20,8,1290,True,False
51,423,3,2026-05-15,1,23,9,48,6,1287,True,False
52,41,2,2026-05-19,1,25,7,15,8,399,True,False
53,56,3,2025-11-24,1,23,8,13,1,156,True,False
54,97,3,2025-07-17,1,7,10,2,7,705,True,False
55,199,3,2025-08-29,1,10,1,12,9,1345,True,False
56,547,2,2025-10-16,1,11,2,18,8,1058,True,False
57,143,1,2025-09-02,1,14,16,24,2,314,True,False
58,130,3,2024-12-03,1,22,23,17,10,22,True,False
