BailID,AccusedMasterID,BailStatus
1,850,Granted
2,813,Granted
3,853,Granted
4,904,Granted
5,712,Rejected
6,1489,Granted
7,386,Rejected
8,978,Rejected
9,1111,Granted
10,1446,Rejected
11,1401,Granted
12,975,Rejected
13,1420,Rejected
14,1301,Granted
15,722,Granted
16,394,Granted
17,325,Granted
18,1450,Rejected
19,182,Rejected
20,939,Granted
21,44,Rejected
22,543,Granted
23,541,Granted
24,692,Rejected
25,770,Rejected
26,1083,Granted
27,1219,Rejected
28,443,Granted
29,1394,Rejected
30,1254,Rejected
31,391,Rejected
32,979,Granted
33,844,Rejected
34,1413,Rejected
35,808,Granted
36,1456,Rejected
37,818,Granted
38,545,Rejected
39,643,Rejected
40,772,Granted
41,289,Rejected
42,456,Granted
43,700,Rejected
44,710,Rejected
45,77,Rejected
46,967,Rejected
47,651,Granted
48,737,Granted
49,734,Rejected
50,603,Rejected
51,779,Granted
52,1411,Rejected
53,851,Granted
54,969,Granted
55,922,Rejected
56,1286,Rejected
57,271,Rejected
58,946,Granted
59,764,Granted
60,39,Rejected
61,32,Rejected
62,484,Rejected
63,522,Granted
64,1399,Granted
65,6,Granted
66,1317,Rejected
67,1191,Granted
68,981,Granted
69,1401,Granted
70,128,Granted
71,906,Rejected
72,1266,Rejected
73,589,Granted
74,235,Granted
75,782,Granted
76,1345,Rejected
77,296,Rejected
78,426,Granted
79,1467,Granted
80,47,Rejected
81,1149,Rejected
82,991,Granted
83,164,Rejected
84,1247,Granted
85,654,Granted
86,1129,Granted
87,1114,Granted
88,876,Granted
89,552,Granted
90,1110,Granted
91,853,Granted
92,1308,Granted
93,771,Granted
94,169,Granted
95,1127,Rejected
96,151,Rejected
97,93,Granted
98,1112,Granted
99,1460,Granted
100,1392,Rejected
101,1481,Granted
102,927,Rejected
103,1177,Rejected
104,395,Granted
105,190,Granted
106,411,Granted
107,99,Granted
108,890,Rejected
109,304,Rejected
110,882,Granted
111,877,Granted
112,1302,Rejected
113,108,Rejected
114,1105,Rejected
115,1206,Rejected
116,1301,Rejected
117,508,Rejected
118,605,Granted
119,509,Rejected
120,966,Granted
121,977,Granted
122,61,Rejected
123,529,Rejected
124,1198,Rejected
125,1293,Granted
126,851,Rejected
127,484,Granted
128,1033,Rejected
129,82,Rejected
130,848,Rejected
131,1425,Granted
132,751,Rejected
133,818,Granted
134,602,Rejected
135,378,Granted
136,1110,Rejected
137,690,Granted
138,1483,Granted
139,1265,Granted
140,380,Granted
141,1255,Granted
142,149,Granted
143,123,Granted
144,1182,Rejected
145,1445,Rejected
146,480,Granted
147,242,Rejected
148,1248,Granted
149,176,Rejected
150,356,Rejected
151,435,Rejected
152,570,Granted
153,427,Rejected
154,385,Rejected
155,446,Granted
156,1369,Rejected
157,389,Granted
158,310,Rejected
159,1327,Rejected
160,988,Rejected
161,758,Rejected
162,226,Rejected
163,887,Rejected
164,1485,Granted
165,1045,Granted
166,348,Rejected
167,412,Rejected
168,1012,Granted
169,1229,Granted
170,197,Granted
171,95,Granted
172,801,Rejected
173,1377,Rejected
174,259,Granted
175,264,Granted
176,410,Rejected
177,322,Rejected
178,959,Granted
179,1318,Granted
180,37,Rejected
181,221,Granted
182,270,Granted
183,561,Rejected
184,157,Granted
185,35,Rejected
186,738,Rejected
187,304,Granted
188,254,Granted
189,1290,Rejected
190,1102,Rejected
191,1106,Granted
192,972,Rejected
193,298,Granted
194,574,Rejected
195,315,Rejected
196,896,Rejected
197,1153,Rejected
198,1466,Granted
199,938,Rejected
200,321,Rejected
201,1320,Granted
202,1491,Rejected
203,68,Granted
204,778,Granted
205,1120,Rejected
206,860,Granted
207,468,Granted
208,756,Rejected
209,49,Rejected
210,185,Rejected
211,76,Rejected
212,80,Rejected
213,287,Rejected
214,157,Granted
215,282,Granted
216,598,Rejected
217,817,Granted
218,1269,Granted
219,419,Rejected
220,450,Rejected
221,173,Granted
222,303,Rejected
223,402,Rejected
224,493,Rejected
225,1086,Granted
226,850,Granted
227,49,Granted
228,1202,Granted
229,1463,Granted
230,673,Granted
231,1385,Rejected
232,1273,Granted
233,1320,Rejected
234,933,Rejected
235,355,Granted
236,1375,Granted
237,1114,Granted
238,290,Granted
239,717,Granted
240,697,Granted
241,721,Rejected
242,78,Granted
243,866,Rejected
244,197,Granted
245,1158,Granted
246,560,Rejected
247,353,Rejected
248,640,Rejected
249,934,Rejected
250,429,Rejected
251,16,Granted
252,118,Granted
253,1186,Granted
254,25,Granted
255,1248,Granted
256,1134,Granted
257,1212,Granted
258,847,Granted
259,806,Granted
260,720,Rejected
261,226,Rejected
262,706,Granted
263,1458,Granted
264,698,Granted
265,888,Rejected
266,970,Granted
267,1453,Rejected
268,702,Rejected
269,1308,Granted
270,328,Granted
271,349,Rejected
272,602,Granted
273,1150,Rejected
274,85,Granted
275,1435,Rejected
276,304,Granted
277,69,Granted
278,492,Granted
279,874,Rejected
280,1009,Granted
281,51,Granted
282,1489,Granted
283,878,Rejected
284,488,Granted
285,613,Granted
286,112,Granted
287,254,Granted
288,869,Granted
289,806,Granted
290,338,Rejected
291,271,Rejected
292,956,Granted
293,565,Granted
294,546,Granted
295,915,Granted
296,658,Granted
297,737,Granted
298,929,Granted
299,1097,Rejected
300,559,Granted
301,615,Rejected
302,300,Rejected
303,1218,Rejected
304,262,Granted
305,830,Rejected
306,690,Rejected
307,585,Granted
308,673,Rejected
309,556,Granted
310,392,Granted
311,809,Granted
312,119,Rejected
313,1364,Granted
314,612,Granted
315,371,Rejected
316,1308,Rejected
317,203,Rejected
318,145,Rejected
319,736,Granted
320,194,Rejected
321,23,Rejected
322,391,Rejected
323,1117,Rejected
324,279,Rejected
325,1363,Rejected
326,1156,Granted
327,387,Granted
328,959,Granted
329,729,Granted
330,1011,Rejected
331,1086,Granted
332,509,Granted
333,815,Granted
334,281,Rejected
335,96,Granted
336,1114,Granted
337,851,Rejected
338,844,Rejected
339,240,Granted
340,938,Rejected
341,1132,Rejected
342,268,Rejected
343,1404,Granted
344,306,Rejected
345,507,Rejected
346,1450,Rejected
347,520,Rejected
348,117,Rejected
349,484,Rejected
350,464,Rejected
351,1200,Rejected
352,585,Granted
353,660,Rejected
354,864,Rejected
355,144,Rejected
356,479,Granted
357,481,Granted
358,594,Granted
359,361,Rejected
360,981,Granted
361,26,Rejected
362,883,Granted
363,286,Granted
364,1030,Rejected
365,484,Granted
366,1027,Rejected
367,536,Rejected
368,361,Rejected
369,782,Rejected
370,1025,Rejected
371,1009,Granted
372,1097,Granted
373,136,Granted
374,970,Granted
375,1260,Granted
376,1218,Granted
377,240,Granted
378,1492,Rejected
379,400,Rejected
380,61,Rejected
381,1320,Granted
382,1193,Rejected
383,1267,Rejected
384,154,Rejected
385,1346,Rejected
386,676,Rejected
387,121,Rejected
388,1493,Granted
389,94,Rejected
390,300,Granted
391,677,Rejected
392,307,Granted
393,368,Granted
394,1047,Rejected
395,787,Granted
396,1324,Granted
397,450,Rejected
398,934,Rejected
399,919,Granted
400,289,Granted
