HistoryID,CaseMasterID,UpdateDate,Remarks
1,444,2025-12-12,Status updated
2,951,2026-02-18,Status updated
3,52,2025-08-04,Status updated
4,4,2025-09-01,Status updated
5,553,2025-07-09,Status updated
6,26,2025-12-24,Status updated
7,757,2025-10-08,Status updated
8,105,2026-02-10,Status updated
9,289,2025-02-27,Status updated
10,75,2026-05-14,Status updated
11,222,2025-07-29,Status updated
12,517,2025-08-17,Status updated
13,215,2025-03-13,Status updated
14,288,2026-03-10,Status updated
15,460,2025-03-04,Status updated
16,424,2024-10-13,Status updated
17,826,2025-02-16,Status updated
18,941,2025-06-11,Status updated
19,139,2026-05-08,Status updated
20,174,2025-07-05,Status updated
21,383,2026-04-01,Status updated
22,769,2026-06-04,Status updated
23,599,2024-12-12,Status updated
24,175,2026-05-15,Status updated
25,566,2024-11-27,Status updated
26,673,2025-08-09,Status updated
27,336,2026-05-26,Status updated
28,779,2026-01-31,Status updated
29,445,2026-02-16,Status updated
30,225,2026-06-21,Status updated
31,373,2025-12-08,Status updated
32,401,2025-10-07,Status updated
33,778,2025-02-21,Status updated
34,937,2026-06-11,Status updated
35,526,2024-11-29,Status updated
36,315,2025-11-17,Status updated
37,191,2024-08-26,Status updated
38,991,2024-07-28,Status updated
39,731,2026-05-27,Status updated
40,906,2025-08-13,Status updated
41,711,2025-12-30,Status updated
42,171,2024-08-09,Status updated
43,787,2024-08-11,Status updated
44,280,2024-08-25,Status updated
45,851,2024-12-13,Status updated
46,382,2024-11-20,Status updated
47,363,2026-05-14,Status updated
48,576,2025-10-13,Status updated
49,664,2024-08-16,Status updated
50,726,2026-05-20,Status updated
51,678,2025-09-11,Status updated
52,57,2026-06-04,Status updated
53,885,2025-02-07,Status updated
54,24,2026-06-04,Status updated
55,969,2025-12-29,Status updated
56,364,2025-05-07,Status updated
57,972,2024-09-07,Status updated
58,790,2025-01-28,Status updated
59,851,2024-11-25,Status updated
60,492,2024-10-06,Status updated
61,515,2024-09-13,Status updated
62,496,2025-01-23,Status updated
63,719,2025-09-15,Status updated
64,817,2025-07-20,Status updated
65,174,2024-09-07,Status updated
66,219,2025-02-21,Status updated
67,414,2025-02-06,Status updated
68,977,2024-10-07,Status updated
69,794,2026-06-15,Status updated
70,539,2025-06-01,Status updated
71,316,2024-09-05,Status updated
72,499,2024-08-18,Status updated
73,577,2024-07-14,Status updated
74,684,2026-06-27,Status updated
75,72,2026-05-22,Status updated
76,566,2025-09-29,Status updated
77,931,2024-08-01,Status updated
78,766,2024-09-09,Status updated
79,636,2025-10-02,Status updated
80,521,2025-09-05,Status updated
81,515,2025-10-31,Status updated
82,644,2026-01-25,Status updated
83,936,2024-12-31,Status updated
84,415,2025-08-29,Status updated
85,338,2026-04-24,Status updated
86,548,2025-12-07,Status updated
87,330,2024-12-14,Status updated
88,278,2026-04-06,Status updated
89,81,2026-01-25,Status updated
90,978,2025-11-28,Status updated
91,66,2026-04-23,Status updated
92,552,2025-09-27,Status updated
93,530,2024-07-06,Status updated
94,438,2025-09-15,Status updated
95,789,2026-06-27,Status updated
96,534,2025-09-17,Status updated
97,741,2024-08-15,Status updated
98,848,2024-09-09,Status updated
99,728,2026-01-08,Status updated
100,758,2025-11-18,Status updated
101,841,2025-10-01,Status updated
102,622,2026-02-16,Status updated
103,405,2026-03-03,Status updated
104,972,2025-01-21,Status updated
105,860,2025-08-02,Status updated
106,849,2024-10-01,Status updated
107,433,2024-12-16,Status updated
108,970,2024-10-21,Status updated
109,605,2024-11-14,Status updated
110,189,2026-06-06,Status updated
111,191,2025-03-03,Status updated
112,944,2024-07-09,Status updated
113,563,2025-05-09,Status updated
114,405,2025-12-25,Status updated
115,546,2024-12-10,Status updated
116,799,2025-03-06,Status updated
117,589,2025-01-06,Status updated
118,435,2025-06-20,Status updated
119,968,2024-11-29,Status updated
