CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts,Village,Taluk
1,CR/1980/1504,CS/2016/2619,2023-07-20,44,7,1,2,1,31,5,9,2023-07-19 18:35:21,2023-07-19 19:35:21,2023-07-20 22:35:21,12.9327959,77.5860403,Perferendis optio laboriosam deleniti pariatur autem dolorum. Impedit aliquid expedita minima hic. Maxime nostrum est at error sequi.,Mudbidri,Bantwal
2,CR/2001/1719,CS/2026/9262,2023-08-16,18,12,3,1,6,24,3,9,2023-08-16 03:39:21,2023-08-16 05:39:21,2023-08-16 04:39:21,12.2875953,76.6528137,"Tempora saepe cupiditate placeat vel ad. Nisi dolores officiis voluptatem eligendi.
Modi facere eius aliquid hic non odit.",Belur,Bengaluru South
3,CR/2018/4026,CS/1998/8533,2025-07-26,31,17,3,1,14,5,6,6,2025-07-25 08:15:51,2025-07-25 13:15:51,2025-07-26 08:15:51,15.4523353,75.010394,"Tempore eveniet voluptate sit. Facere expedita vel et. Dicta temporibus facilis mollitia saepe.
Ut quasi alias porro autem. Occaecati sed dicta unde.",Honnavar,Anekal
4,CR/2023/5336,CS/2006/3456,2025-08-04,29,18,1,2,12,46,5,3,2025-08-03 10:23:57,2025-08-03 15:23:57,2025-08-04 23:23:57,12.8721339,74.8428673,Amet dolores provident corporis architecto tenetur. Ullam dolorem voluptas perferendis quidem suscipit.,Basavakalyan,Tirthahalli
5,CR/2015/5825,CS/2023/1741,2024-01-26,9,13,1,3,11,1,6,3,2024-01-26 02:19:38,2024-01-26 05:19:38,2024-01-26 04:19:38,12.31578998757336,76.65097647957214,Id autem magnam exercitationem. Autem laudantium dolor saepe amet blanditiis explicabo quas. Corporis quam nisi dignissimos deserunt inventore iure totam.,Halebidu,Athani
6,CR/1976/7816,CS/2005/3062,2024-06-21,47,25,2,1,6,23,3,4,2024-06-20 04:34:28,2024-06-20 05:34:28,2024-06-21 02:34:28,17.895088,77.5159987,"Exercitationem optio vero. Facere quisquam at. Accusamus veritatis temporibus alias.
Mollitia nulla provident et iure culpa.",Jamkhandi,Pavagada
7,CR/1981/7379,CS/1986/8067,2025-12-18,22,27,3,3,13,75,3,3,2025-12-18 17:36:40,2025-12-18 18:36:40,2025-12-18 18:36:40,12.5219835,76.9011054,"Iusto deserunt sint itaque. Quaerat omnis placeat magni officia debitis omnis consectetur. Voluptas odit veniam eaque ratione cum.
Hic sit vel beatae modi sequi atque occaecati.",Afzalpur,Hosakote
8,CR/2023/1196,CS/2024/3214,2024-03-01,38,25,3,1,11,40,5,2,2024-02-29 22:20:43,2024-02-29 23:20:43,2024-03-01 16:20:43,17.9129231,77.5221249,"Sit ea porro illo laborum impedit. Nisi quidem temporibus eveniet.
Quaerat odit nesciunt officiis.",Mudbidri,Hunsur
9,CR/2004/7371,CS/2023/8027,2024-01-30,47,11,1,3,7,36,4,4,2024-01-28 16:59:02,2024-01-28 21:59:02,2024-01-30 02:59:02,12.97744644238632,77.59150919999172,"Eius iusto rem aliquam possimus. Vero voluptas soluta.
Cupiditate officia optio nulla alias consectetur itaque explicabo. Atque a numquam ut.",Kollegal,Hunsur
10,CR/1986/4923,CS/2022/1022,2025-09-04,25,7,1,2,14,52,6,2,2025-09-03 00:28:18,2025-09-03 01:28:18,2025-09-04 20:28:18,12.9363853,77.5800407,Eveniet unde natus in error. Sint veniam explicabo odio libero doloribus ducimus. Natus consequatur neque deserunt consectetur.,Shahabad,Gubbi
11,CR/1998/1746,CS/1985/5227,2024-07-25,11,9,3,1,12,36,1,6,2024-07-24 03:55:44,2024-07-24 06:55:44,2024-07-25 02:55:44,12.9286251,77.5437221,"Vitae explicabo earum nostrum.
Beatae vero perferendis illo tempora ex aliquam atque. Nulla voluptatum magnam quas iusto error.",Manvi,Maddur
12,CR/2014/5847,CS/2002/4393,2025-04-08,45,13,3,2,4,57,1,3,2025-04-08 17:14:14,2025-04-08 19:14:14,2025-04-08 22:14:14,12.314068430905321,76.6510806502263,Mollitia tempora deleniti neque nulla. Repudiandae ipsum voluptate aperiam accusamus doloremque. Aperiam ad aliquid sint.,Hungund,Tirthahalli
13,CR/1995/3663,CS/1970/5140,2025-03-13,14,18,3,1,9,57,4,5,2025-03-12 10:58:00,2025-03-12 12:58:00,2025-03-13 12:58:00,12.8696082,74.8460851,"Unde delectus eum earum.
Recusandae corrupti dolorem aperiam sint praesentium eligendi. Facilis cupiditate dolor quod doloremque illo magnam neque.",Shahabad,Devanahalli
14,CR/2017/5247,CS/1984/5142,2025-11-10,47,22,2,3,5,6,1,8,2025-11-08 09:36:07,2025-11-08 10:36:07,2025-11-10 06:36:07,13.9277673,75.5708668,"Quia dolor maxime cum. Sed non quasi alias.
Odio magnam earum rem. Labore saepe asperiores fuga saepe eaque debitis. Blanditiis tempora illo esse possimus reiciendis.",Murudeshwar,Sira
15,CR/1982/1107,CS/2013/7635,2023-08-13,46,25,3,3,15,8,6,10,2023-08-13 01:25:22,2023-08-13 03:25:22,2023-08-13 20:25:22,17.9051667,77.5160636,At fugiat provident autem maxime ad facere similique.,Gangavathi,Mysuru
16,CR/1986/8960,CS/1986/1742,2023-09-08,47,2,2,3,13,38,2,5,2023-09-06 09:22:50,2023-09-06 13:22:50,2023-09-08 03:22:50,12.9724597,77.6081514,Eveniet praesentium dolore. Laudantium accusamus error consectetur totam quidem. Consequuntur magnam libero alias cumque.,Manvi,Saundatti
17,CR/2007/3663,CS/1976/2118,2026-01-12,36,18,1,1,14,53,5,7,2026-01-10 14:53:29,2026-01-10 17:53:29,2026-01-12 03:53:29,12.8699486,74.8408637,Doloremque vero necessitatibus officia voluptas. Quae vitae accusamus minima facere exercitationem iusto animi. Ipsum est voluptates voluptas nihil neque perferendis.,Belur,Bhadravati
18,CR/1971/8199,CS/1986/4179,2026-07-03,17,23,3,2,14,10,4,1,2026-07-02 22:57:35,2026-07-03 00:57:35,2026-07-03 12:57:35,16.204545707085032,77.34701946543878,Aperiam nisi tempore sapiente. Asperiores inventore voluptas nam impedit repudiandae.,Kudupu,Maddur
