CSAccusedID,ChargesheetID,AccusedMasterID
1,556,1107
2,335,1116
3,223,360
4,441,834
5,198,1300
6,573,1475
7,40,1380
8,304,57
9,249,777
10,450,629
11,320,53
12,178,1296
13,306,1489
14,361,677
15,76,655
16,93,601
17,73,1300
18,270,325
19,588,462
20,455,1064
21,162,1239
22,383,1143
23,483,1112
24,221,429
25,254,1345
26,431,710
27,21,130
28,592,236
29,397,150
30,140,1001
31,105,1003
32,571,1013
33,236,283
34,259,1043
35,293,1134
36,196,747
37,423,1006
38,125,79
39,399,783
40,76,890
41,10,1075
42,290,359
43,175,1247
44,175,879
45,201,60
46,500,1347
47,381,190
48,598,529
49,534,1116
50,388,1035
51,419,716
52,199,1187
53,25,1381
54,171,1074
55,237,465
56,232,577
57,390,582
58,273,1204
59,529,570
60,176,911
61,112,1131
62,269,1092
63,372,1235
64,195,254
65,569,635
66,130,1201
67,253,1025
68,88,291
69,324,858
70,468,486
71,328,72
72,72,816
73,501,312
74,200,413
75,120,1404
76,340,1461
77,541,751
78,304,410
79,535,437
80,414,394
81,181,1222
82,187,1357
83,538,171
84,263,1358
85,138,816
86,286,1175
87,470,33
88,224,1320
89,242,166
90,329,1431
91,75,172
92,128,59
93,47,1027
94,267,959
95,133,234
96,154,688
97,187,53
98,129,1140
99,443,829
100,447,174
101,141,230
102,431,1444
103,278,413
104,568,473
105,486,726
106,505,900
107,221,102
108,428,707
109,23,572
110,82,1368
111,153,1400
112,556,567
113,303,733
114,517,1446
115,507,195
116,368,140
117,394,1218
118,299,539
119,408,1357
120,412,45
121,342,1286
122,575,723
123,59,1426
124,424,1448
125,118,844
126,303,816
127,100,575
128,238,443
129,355,126
130,338,884
131,110,1173
132,57,675
133,381,1106
134,554,229
135,48,743
136,145,114
137,107,1093
138,386,122
139,524,126
140,192,363
141,439,736
142,298,1000
143,347,121
144,485,913
145,134,1116
146,427,866
147,208,219
148,139,817
149,382,951
150,542,203
151,138,671
152,248,382
153,162,188
154,400,747
155,325,1121
156,320,688
157,482,139
158,236,1314
159,315,983
160,289,1328
161,240,1458
162,337,791
163,398,1304
164,253,1041
165,87,757
166,301,1254
167,486,587
168,367,1346
169,444,1312
170,342,890
171,264,1014
172,585,320
173,424,255
174,131,423
175,352,468
176,33,805
177,35,549
178,162,582
179,28,711
180,19,181
181,130,660
182,492,52
183,380,890
184,456,733
185,337,396
186,10,70
187,333,143
188,532,502
189,361,101
190,511,105
191,207,1314
192,128,868
193,478,1017
194,51,419
195,233,658
196,502,1493
197,429,801
198,115,1470
199,92,664
200,563,206
201,461,1248
202,554,20
203,214,314
204,434,780
205,26,411
206,154,159
207,296,758
208,503,232
209,555,696
210,340,696
211,48,610
212,80,1072
213,7,737
214,376,28
215,229,1002
216,507,90
217,418,592
218,332,345
219,118,986
220,41,694
221,295,782
222,261,1306
223,500,412
224,32,292
225,484,128
226,334,1466
227,555,363
228,586,1203
229,422,689
230,156,830
231,311,761
232,12,864
233,388,1055
234,114,1389
235,464,481
236,148,1057
237,227,883
238,458,552
239,454,337
240,410,1395
241,279,357
242,327,1355
243,278,199
244,365,848
245,130,1220
246,335,94
247,496,1048
248,479,901
249,363,1081
250,230,119
251,545,666
252,496,809
253,346,1160
254,120,1482
255,169,1162
256,496,424
257,64,376
258,522,240
259,134,1006
260,189,1043
261,420,237
262,285,1228
263,158,918
264,210,768
265,473,44
266,197,206
267,391,1043
268,436,1298
269,128,926
270,49,137
271,59,57
272,112,962
273,7,1445
274,472,387
275,151,414
276,551,1078
277,127,668
278,375,831
279,441,1211
280,45,511
281,347,352
282,268,1
283,231,256
284,600,1144
285,326,339
286,74,467
287,401,491
288,307,1291
289,23,1437
290,590,869
291,95,259
292,86,1271
293,220,755
294,220,10
295,96,13
296,97,403
297,366,755
298,173,906
299,55,508
300,460,1040
301,268,1343
302,525,1461
303,208,15
304,355,210
305,488,1220
306,109,1020
307,529,207
308,15,763
309,229,703
310,446,509
311,427,1258
312,252,533
313,211,220
314,259,1404
315,431,881
316,368,1102
317,107,1038
318,295,622
319,161,859
320,87,1038
321,403,275
322,391,1034
323,149,260
324,397,1272
325,163,1475
326,311,953
327,331,770
328,538,166
329,531,323
330,69,385
331,557,1065
332,471,99
333,216,22
334,162,243
335,436,106
336,147,163
337,191,423
338,420,1217
339,456,1219
340,9,1066
341,198,118
342,421,931
343,70,59
344,446,375
345,299,847
346,371,1457
347,373,989
348,467,1374
349,194,841
350,367,367
351,95,687
352,291,1349
353,470,867
354,30,1404
355,171,432
356,133,173
357,302,888
358,599,406
359,306,991
360,534,1265
361,511,1498
362,536,1097
363,287,561
364,153,657
365,185,759
366,64,482
367,334,435
368,205,171
369,268,764
370,285,328
371,507,1222
372,393,381
373,82,265
374,327,869
375,592,447
376,58,1031
377,584,1003
378,411,153
379,103,1155
380,88,939
381,408,103
382,161,653
383,217,1364
384,350,134
385,185,879
386,110,1254
387,364,793
388,70,1237
389,504,549
390,290,1346
391,81,1368
392,311,1185
393,169,31
394,364,1024
395,540,1071
396,209,1143
397,319,1354
398,60,1043
399,89,1243
400,255,255
401,368,611
402,72,1087
403,320,818
404,541,553
405,490,1089
406,494,496
407,480,1193
408,245,1275
409,346,1106
410,40,307
411,173,589
412,190,675
413,471,296
414,337,1328
415,325,1136
416,459,1095
417,366,890
418,556,389
419,233,949
420,116,763
421,481,207
422,49,300
423,5,776
424,316,105
425,33,1466
426,106,1479
427,500,949
428,118,1172
429,494,1308
430,296,772
431,164,1444
432,536,661
433,475,1429
434,78,877
435,287,664
436,335,1208
437,246,1186
438,435,90
439,45,221
440,62,633
441,461,488
442,330,525
443,88,683
444,219,6
445,567,984
446,434,1198
447,467,30
448,498,1366
449,141,188
450,542,717
451,528,97
452,68,626
453,136,1248
454,139,979
455,530,1016
456,558,173
457,294,417
458,123,787
459,441,1355
460,220,402
461,590,927
462,547,1315
463,395,944
464,466,1493
465,126,26
466,227,973
467,466,867
468,316,364
469,141,807
470,557,665
471,474,1341
472,435,473
473,100,51
474,142,760
475,14,374
476,152,776
