ChargesheetID,CaseMasterID,Status,CourtID,Judge,FilingDate
1,119,Filed,7,Hon. Chander,2025-07-17
2,805,Filed,8,Hon. Pal,2024-10-25
3,848,Pending,1,Hon. Randhawa,2025-01-04
4,621,Pending,10,Hon. Kale,2025-03-03
5,616,Filed,1,Hon. Bahri,2025-08-29
6,871,Filed,7,Hon. Murty,2026-04-25
7,757,Rejected,7,Hon. Sidhu,2024-08-09
8,506,Pending,10,Hon. Jayaraman,2025-12-27
9,935,Filed,5,Hon. Parmar,2024-10-19
10,135,Rejected,5,Hon. Andra,2026-07-05
11,199,Filed,1,Hon. Karnik,2026-05-22
12,56,Filed,9,Hon. Pillay,2026-01-19
13,312,Pending,1,Hon. Mann,2026-01-26
14,71,Pending,8,Hon. Kade,2025-03-08
15,713,Pending,8,Hon. Reddy,2025-02-09
16,965,Rejected,2,Hon. Mahajan,2025-04-18
17,702,Filed,3,Hon. Bhasin,2025-06-05
18,369,Filed,6,Hon. Sastry,2025-06-24
19,85,Rejected,1,Hon. Ranganathan,2025-01-19
20,439,Rejected,1,Hon. Palla,2024-10-21
21,695,Filed,10,Hon. Goda,2025-07-15
22,541,Filed,10,Hon. Nadig,2025-06-06
23,587,Rejected,4,Hon. Murty,2024-09-08
24,11,Pending,8,Hon. Bhargava,2025-12-07
25,910,Filed,10,Hon. Varkey,2025-11-08
26,756,Pending,8,Hon. Loyal,2024-08-18
27,649,Rejected,9,Hon. Dhaliwal,2025-02-20
28,709,Pending,8,Hon. Rajagopal,2024-12-31
29,719,Filed,1,Hon. Oak,2026-05-13
30,573,Filed,2,Hon. Tata,2026-02-04
31,498,Pending,6,Hon. Kapoor,2024-09-16
32,931,Filed,7,Hon. Tak,2026-07-01
33,913,Rejected,1,Hon. Mann,2024-11-20
34,568,Rejected,10,Hon. Chawla,2024-11-17
35,753,Filed,7,Hon. Pingle,2024-11-08
36,565,Pending,9,Hon. Kurian,2025-01-12
37,586,Pending,5,Hon. Roy,2025-07-29
38,577,Filed,2,Hon. Issac,2025-10-12
39,559,Filed,8,Hon. Kakar,2025-08-02
40,272,Filed,1,Hon. Ratti,2025-02-19
41,866,Filed,1,Hon. Garde,2025-03-03
42,519,Rejected,4,Hon. Rattan,2025-03-09
43,483,Pending,3,Hon. Vyas,2026-02-28
44,243,Rejected,9,Hon. Mangal,2026-05-09
45,558,Filed,5,Hon. Nanda,2025-12-16
46,598,Filed,8,Hon. Gour,2025-12-17
47,622,Pending,7,Hon. Deshpande,2024-08-21
48,261,Rejected,8,Hon. Aggarwal,2024-09-03
49,583,Pending,2,Hon. Chanda,2025-04-23
50,288,Pending,7,Hon. Mahajan,2025-08-12
51,194,Filed,1,Hon. Thakkar,2025-12-17
52,309,Filed,4,Hon. Dhillon,2026-04-22
53,636,Rejected,4,Hon. Bose,2026-03-22
54,633,Filed,7,Hon. Mangat,2024-12-26
55,609,Pending,5,Hon. Amble,2026-05-26
56,403,Rejected,4,Hon. Lalla,2026-03-29
57,341,Rejected,1,Hon. Dasgupta,2026-04-04
58,345,Rejected,9,Hon. Narayan,2026-01-23
59,935,Rejected,3,Hon. Deol,2025-05-29
60,734,Rejected,3,Hon. Chawla,2025-08-01
61,523,Filed,4,Hon. Kar,2025-09-21
62,262,Rejected,5,Hon. Kadakia,2025-03-21
63,516,Filed,1,Hon. Deshpande,2026-05-01
64,614,Rejected,9,Hon. Dhar,2024-12-11
65,676,Filed,6,Hon. Garg,2025-07-30
66,366,Pending,1,Hon. Bir,2025-05-05
67,75,Filed,3,Hon. Barad,2025-12-14
68,267,Pending,7,Hon. Mani,2025-04-07
69,92,Rejected,10,Hon. Bath,2025-10-12
70,886,Pending,8,Hon. Nazareth,2025-06-11
71,528,Pending,5,Hon. Dutta,2026-03-21
72,91,Filed,5,Hon. Rao,2025-04-01
73,538,Rejected,5,Hon. Datta,2025-03-08
74,507,Pending,2,Hon. Wable,2025-03-30
75,733,Pending,5,Hon. Andra,2026-06-15
76,604,Pending,2,Hon. Deep,2026-04-12
77,913,Rejected,10,Hon. Sastry,2026-05-10
78,762,Rejected,1,Hon. Jain,2025-09-24
79,483,Rejected,5,Hon. Prashad,2025-08-03
80,183,Pending,8,Hon. Brahmbhatt,2026-06-07
81,486,Pending,5,Hon. Sachar,2024-09-06
82,992,Pending,9,Hon. Sabharwal,2026-05-02
83,341,Rejected,10,Hon. Thaker,2026-02-14
84,637,Rejected,2,Hon. Kale,2025-02-16
85,274,Filed,6,Hon. Tailor,2025-12-24
86,405,Pending,10,Hon. Viswanathan,2025-07-02
87,360,Pending,4,Hon. Shanker,2026-05-08
88,249,Rejected,1,Hon. Kashyap,2025-11-17
89,89,Rejected,2,Hon. Shanker,2025-09-19
90,234,Filed,4,Hon. Johal,2025-04-03
91,751,Filed,7,Hon. Ramakrishnan,2026-04-17
92,921,Rejected,6,Hon. Deol,2026-03-05
93,344,Rejected,7,Hon. Sood,2025-04-10
94,600,Pending,1,Hon. Rastogi,2025-03-15
95,411,Pending,5,Hon. Khosla,2024-09-30
96,467,Pending,3,Hon. Mani,2024-11-28
97,673,Filed,10,Hon. Agarwal,2024-09-11
98,639,Rejected,2,Hon. Merchant,2025-11-03
99,345,Pending,3,Hon. Srinivasan,2025-12-16
100,643,Pending,9,Hon. Loyal,2026-02-28
101,894,Rejected,3,Hon. Keer,2024-10-24
102,609,Rejected,10,Hon. Soman,2024-10-31
103,812,Pending,10,Hon. Sandhu,2025-07-07
104,951,Pending,5,Hon. Wali,2025-09-08
105,589,Pending,2,Hon. Sahota,2025-10-24
106,956,Filed,10,Hon. Mukhopadhyay,2025-10-26
107,88,Pending,9,Hon. Issac,2025-05-02
108,567,Pending,2,Hon. Uppal,2024-10-03
109,236,Rejected,2,Hon. Toor,2026-05-25
110,806,Pending,1,Hon. Iyer,2025-01-20
111,135,Pending,2,Hon. Padmanabhan,2025-05-12
112,302,Pending,9,Hon. Andra,2026-03-23
113,269,Filed,5,Hon. Deo,2024-10-30
114,538,Pending,3,Hon. Jha,2025-12-06
115,653,Pending,3,Hon. Mitra,2026-04-24
116,158,Filed,8,Hon. Sarkar,2024-08-30
117,135,Filed,3,Hon. Gupta,2025-07-26
118,219,Rejected,1,Hon. Kale,2024-10-05
119,452,Pending,3,Hon. Choudhury,2025-01-18
120,574,Pending,9,Hon. Kadakia,2024-09-29
121,350,Filed,3,Hon. Bal,2025-01-22
122,102,Filed,4,Hon. D’Alia,2025-06-10
123,431,Rejected,8,Hon. Magar,2024-09-15
124,525,Rejected,3,Hon. Sanghvi,2024-08-13
125,614,Filed,2,Hon. Gokhale,2025-03-21
126,754,Filed,9,Hon. Dar,2025-03-01
127,377,Pending,1,Hon. Rattan,2024-08-19
128,340,Rejected,8,Hon. Lalla,2025-08-06
129,483,Pending,10,Hon. Nazareth,2026-02-28
130,101,Pending,1,Hon. Sangha,2024-07-11
131,377,Rejected,4,Hon. Gera,2025-10-09
132,691,Rejected,10,Hon. Dugar,2024-11-05
133,379,Pending,8,Hon. Iyengar,2025-04-07
134,980,Filed,1,Hon. Thaker,2026-04-07
135,146,Rejected,6,Hon. Sani,2024-12-18
136,278,Filed,10,Hon. Mall,2025-10-06
137,150,Rejected,1,Hon. Aurora,2026-01-13
138,66,Pending,1,Hon. Rama,2026-03-12
139,1,Pending,8,Hon. Saini,2025-06-01
140,960,Filed,10,Hon. Dubey,2025-04-18
141,267,Rejected,9,Hon. Mahal,2026-01-09
142,578,Pending,2,Hon. Grewal,2025-01-29
143,992,Rejected,9,Hon. Rout,2026-04-26
144,216,Filed,10,Hon. Nagar,2025-12-02
145,900,Filed,8,Hon. Yohannan,2025-10-06
146,883,Pending,1,Hon. Chaudhuri,2026-02-17
147,651,Rejected,6,Hon. Hayre,2026-05-14
148,320,Filed,6,Hon. Balakrishnan,2024-08-08
149,683,Rejected,1,Hon. Khalsa,2025-07-09
150,820,Filed,5,Hon. Solanki,2025-02-23
151,75,Rejected,1,Hon. Ratta,2024-07-13
152,845,Pending,8,Hon. Ravi,2025-12-19
153,926,Rejected,7,Hon. Samra,2025-05-01
154,182,Pending,6,Hon. Kuruvilla,2024-08-29
155,486,Pending,7,Hon. Dey,2025-12-08
156,972,Pending,3,Hon. Kunda,2024-11-03
157,885,Filed,4,Hon. Krishnan,2025-12-22
158,137,Rejected,2,Hon. Palla,2025-06-19
159,826,Filed,3,Hon. Ranganathan,2025-12-08
160,207,Rejected,2,Hon. Vyas,2025-11-27
161,284,Rejected,10,Hon. Goel,2026-05-13
162,874,Rejected,7,Hon. Dutt,2025-02-19
163,745,Filed,3,Hon. Chatterjee,2025-12-24
164,81,Rejected,1,Hon. Rastogi,2025-06-25
165,40,Filed,5,Hon. Borah,2025-08-09
166,519,Filed,7,Hon. Oommen,2024-11-22
167,652,Rejected,2,Hon. Aggarwal,2025-11-30
168,568,Filed,4,Hon. Kamdar,2025-11-25
169,114,Filed,5,Hon. De,2025-02-01
170,323,Rejected,10,Hon. Babu,2025-04-27
171,880,Filed,9,Hon. Jani,2024-09-09
172,421,Filed,10,Hon. Tara,2025-05-03
173,12,Filed,5,Hon. Deep,2026-05-05
174,120,Rejected,5,Hon. Wali,2024-12-12
175,154,Rejected,4,Hon. Gole,2025-09-06
176,958,Pending,1,Hon. Divan,2025-10-06
177,582,Filed,2,Hon. Minhas,2025-06-27
178,498,Rejected,7,Hon. Mallick,2026-01-28
179,189,Rejected,6,Hon. Raj,2024-09-11
180,478,Filed,6,Hon. Kala,2026-01-22
181,436,Filed,5,Hon. Mital,2024-12-13
182,859,Rejected,9,Hon. Walia,2026-02-10
183,996,Filed,10,Hon. Sankaran,2024-12-27
184,97,Pending,6,Hon. Chakrabarti,2025-05-16
185,530,Pending,4,Hon. Borde,2024-07-11
186,983,Rejected,9,Hon. Bhatti,2025-07-31
187,527,Pending,3,Hon. Palla,2025-04-02
188,355,Rejected,2,Hon. Garde,2024-08-31
189,718,Rejected,1,Hon. Srinivasan,2025-11-12
190,463,Filed,9,Hon. Karan,2025-10-26
191,621,Rejected,4,Hon. Narang,2026-05-26
192,717,Filed,10,Hon. Goel,2024-09-26
193,325,Pending,3,Hon. Gala,2026-03-23
194,632,Rejected,9,Hon. Patil,2025-05-11
195,726,Pending,2,Hon. Swamy,2024-09-04
196,803,Filed,10,Hon. Sankaran,2025-07-01
197,827,Rejected,6,Hon. Swamy,2025-03-25
198,99,Filed,3,Hon. Bedi,2025-11-22
199,13,Rejected,2,Hon. Chakraborty,2024-09-14
200,668,Pending,5,Hon. De,2025-11-15
201,132,Rejected,5,Hon. Konda,2024-12-09
202,558,Filed,1,Hon. Keer,2026-06-27
203,136,Rejected,4,Hon. Mitra,2026-04-30
204,72,Filed,7,Hon. Sethi,2025-07-17
205,533,Pending,10,Hon. Halder,2025-07-04
206,879,Pending,5,Hon. Nair,2026-05-11
207,584,Pending,6,Hon. Bhatnagar,2026-02-14
208,623,Rejected,7,Hon. Dora,2025-04-27
209,308,Filed,1,Hon. Nair,2025-07-27
210,678,Rejected,6,Hon. Baria,2026-01-01
211,911,Pending,1,Hon. Kalita,2025-03-22
212,979,Rejected,2,Hon. Bose,2026-05-09
213,443,Filed,10,Hon. Luthra,2025-08-07
214,450,Filed,1,Hon. Agarwal,2026-01-11
215,961,Rejected,2,Hon. Varma,2025-06-21
216,40,Rejected,4,Hon. Agrawal,2025-06-07
217,610,Filed,1,Hon. Lata,2025-02-18
218,326,Filed,7,Hon. Oza,2026-02-06
219,802,Pending,10,Hon. Om,2024-12-06
220,706,Pending,6,Hon. Chana,2024-10-23
221,685,Filed,2,Hon. Kakar,2026-01-19
222,341,Pending,8,Hon. Dhingra,2025-06-30
223,576,Filed,10,Hon. Virk,2026-04-15
224,472,Rejected,1,Hon. Deep,2026-02-11
225,777,Rejected,6,Hon. Dhillon,2024-09-02
226,841,Pending,2,Hon. Ben,2025-04-04
227,168,Rejected,10,Hon. Barman,2025-10-12
228,949,Rejected,10,Hon. Date,2024-07-28
229,915,Rejected,6,Hon. Sastry,2025-05-22
230,674,Rejected,3,Hon. Varma,2024-12-26
231,649,Filed,1,Hon. Nigam,2025-08-13
232,827,Rejected,2,Hon. Modi,2026-01-10
233,838,Rejected,6,Hon. Rai,2026-03-18
234,279,Filed,10,Hon. Goswami,2025-08-13
235,993,Pending,8,Hon. Grover,2024-08-14
236,107,Filed,10,Hon. Goswami,2025-09-07
237,267,Rejected,1,Hon. Parsa,2025-04-19
238,834,Filed,6,Hon. Salvi,2026-04-14
239,802,Pending,9,Hon. Sankaran,2025-12-06
240,352,Rejected,2,Hon. Sridhar,2025-06-26
241,166,Pending,7,Hon. Sidhu,2025-04-04
242,753,Filed,1,Hon. Nazareth,2025-05-12
243,274,Pending,3,Hon. Venkataraman,2025-08-13
244,544,Pending,10,Hon. Bhatt,2025-06-26
245,727,Filed,9,Hon. Dani,2025-12-12
246,916,Filed,8,Hon. Dugar,2026-05-25
247,541,Rejected,8,Hon. Kunda,2026-06-10
248,420,Pending,7,Hon. Sem,2025-10-02
249,736,Rejected,10,Hon. Datta,2026-04-12
250,533,Pending,9,Hon. Nori,2025-10-06
251,236,Rejected,10,Hon. Agate,2026-05-20
252,114,Rejected,7,Hon. Kaur,2026-06-23
253,293,Filed,7,Hon. Nayak,2025-08-13
254,223,Pending,6,Hon. Chand,2024-08-29
255,157,Pending,3,Hon. Gaba,2026-07-01
256,639,Rejected,5,Hon. Jha,2024-08-17
257,515,Rejected,7,Hon. Mander,2024-11-19
258,709,Rejected,2,Hon. Raju,2024-09-15
259,299,Pending,2,Hon. Mane,2025-04-15
260,658,Rejected,7,Hon. Kumer,2026-05-15
261,291,Pending,6,Hon. Chanda,2025-01-12
262,726,Pending,4,Hon. Parekh,2025-09-28
263,166,Pending,9,Hon. Sen,2026-05-31
264,820,Pending,1,Hon. Grewal,2025-09-24
265,906,Filed,7,Hon. Bath,2025-01-13
266,459,Rejected,4,Hon. Rege,2024-09-02
267,465,Rejected,1,Hon. Murthy,2024-11-24
268,882,Rejected,2,Hon. Prakash,2024-12-01
269,757,Pending,1,Hon. Kale,2024-10-12
270,718,Rejected,10,Hon. Devan,2024-08-08
271,518,Filed,4,Hon. Shukla,2026-01-07
272,15,Filed,3,Hon. Kothari,2026-05-10
273,559,Filed,7,Hon. Cherian,2024-07-07
274,18,Filed,1,Hon. Minhas,2024-11-06
275,712,Pending,5,Hon. Zachariah,2024-11-29
276,937,Pending,6,Hon. Raval,2024-08-10
277,343,Pending,6,Hon. Dyal,2025-02-19
278,420,Pending,9,Hon. Raghavan,2025-06-24
279,480,Filed,2,Hon. Tata,2026-05-07
280,795,Pending,6,Hon. Deep,2024-12-05
281,45,Pending,10,Hon. Bhakta,2026-05-10
282,2,Rejected,8,Hon. Bhagat,2026-06-19
283,269,Rejected,4,Hon. Lala,2026-05-24
284,506,Rejected,2,Hon. Varty,2026-01-09
285,158,Pending,2,Hon. Sura,2026-04-27
286,802,Filed,4,Hon. Srinivas,2026-03-25
287,521,Pending,7,Hon. Raja,2025-11-27
288,67,Filed,4,Hon. Sangha,2026-05-08
289,537,Pending,9,Hon. Rattan,2026-05-21
290,545,Filed,6,Hon. Yohannan,2026-01-14
291,391,Pending,1,Hon. Narayan,2025-04-06
292,624,Pending,2,Hon. Date,2026-03-12
