PropertyID,CaseMasterID,PropertyType,EstimatedValue
1,946,Cash,181094
2,140,Documents,23869
3,679,Laptop,70835
4,554,Mobile,173025
5,19,Jewellery,260765
6,123,Cash,332192
7,24,Documents,152676
8,248,Cash,321221
9,979,Cash,215692
10,174,Vehicles,58496
11,214,Laptop,56376
12,722,Mobile,80638
13,573,Jewellery,458479
14,769,Mobile,18127
15,885,Jewellery,126325
16,81,Cash,436857
17,514,Documents,138648
18,146,Mobile,466841
19,378,Documents,37210
20,172,Laptop,325211
21,655,Jewellery,329341
22,417,Laptop,70345
23,373,Documents,118885
24,210,Laptop,458215
25,204,Vehicles,148861
26,759,Jewellery,422108
27,79,Jewellery,147709
28,316,Mobile,384429
29,773,Vehicles,402485
30,861,Mobile,283837
31,900,Cash,351367
32,529,Documents,367746
33,528,Documents,165013
34,702,Mobile,284095
35,682,Vehicles,60135
36,200,Vehicles,360025
37,178,Documents,35471
38,627,Documents,52323
39,128,Cash,199615
40,186,Laptop,383752
41,375,Laptop,452424
42,576,Documents,327768
43,280,Vehicles,14401
44,634,Mobile,210592
45,502,Laptop,254114
46,736,Vehicles,97654
47,958,Vehicles,402117
48,995,Laptop,14831
49,944,Laptop,189607
50,500,Laptop,219067
51,255,Laptop,274625
52,909,Jewellery,381825
53,832,Cash,346358
54,277,Laptop,408122
55,963,Documents,327223
56,814,Documents,309809
57,128,Laptop,254006
58,910,Documents,161656
59,778,Mobile,86317
60,569,Mobile,286411
61,571,Jewellery,183911
62,904,Vehicles,248134
63,472,Vehicles,360640
64,711,Mobile,444772
65,149,Jewellery,102692
66,849,Jewellery,162447
67,992,Mobile,67900
68,477,Mobile,325576
69,576,Documents,107195
70,347,Cash,177856
71,19,Laptop,478603
72,35,Vehicles,166804
73,81,Vehicles,15041
74,599,Laptop,360246
75,889,Jewellery,464647
76,350,Laptop,98039
77,347,Cash,454163
78,261,Mobile,198395
79,452,Vehicles,378850
80,948,Documents,325315
81,758,Documents,237056
82,881,Laptop,486224
83,943,Jewellery,161428
84,554,Cash,374993
85,150,Jewellery,128243
86,791,Laptop,216388
87,144,Laptop,278131
88,59,Mobile,17593
89,195,Mobile,50676
90,688,Cash,497476
91,124,Jewellery,234777
92,92,Mobile,354045
93,274,Vehicles,372634
94,716,Laptop,496260
95,268,Laptop,244832
96,922,Documents,471664
97,532,Vehicles,156480
98,227,Jewellery,343969
99,448,Cash,12025
100,279,Laptop,462659
101,744,Laptop,358879
102,763,Vehicles,404083
103,638,Documents,456205
104,599,Laptop,103378
105,397,Vehicles,108218
106,646,Jewellery,139545
107,299,Jewellery,434137
108,506,Mobile,174830
109,311,Jewellery,485371
110,542,Mobile,124727
111,482,Cash,291588
112,600,Vehicles,281744
113,902,Jewellery,194857
114,401,Mobile,399428
115,230,Cash,321001
116,233,Mobile,149794
117,4,Mobile,235189
118,126,Mobile,78404
119,643,Laptop,305446
120,190,Laptop,142778
121,138,Jewellery,405130
122,448,Documents,367885
123,474,Documents,492587
124,296,Cash,176638
125,683,Jewellery,408086
126,767,Documents,444813
127,487,Vehicles,154224
128,643,Jewellery,434913
129,199,Vehicles,138882
130,876,Jewellery,423987
131,853,Vehicles,44151
132,967,Documents,8861
133,286,Mobile,496686
134,952,Jewellery,50354
135,796,Cash,359211
136,364,Documents,93366
137,430,Vehicles,270802
