SectionCode,ActCode,SectionDescription,Active
SEC1,ACT5,Section 206 of Arms Act,1
SEC2,ACT1,Section 215 of Indian Penal Code (IPC),1
SEC3,ACT2,Section 331 of Information Technology Act,1
SEC4,ACT4,Section 204 of POCSO Act,1
SEC5,ACT5,Section 126 of Arms Act,1
SEC6,ACT3,Section 432 of NDPS Act,1
SEC7,ACT3,Section 229 of NDPS Act,1
SEC8,ACT4,Section 238 of POCSO Act,1
SEC9,ACT3,Section 353 of NDPS Act,1
SEC10,ACT4,Section 346 of POCSO Act,1
SEC11,ACT5,Section 151 of Arms Act,1
SEC12,ACT1,Section 121 of Indian Penal Code (IPC),1
SEC13,ACT2,Section 137 of Information Technology Act,1
SEC14,ACT2,Section 260 of Information Technology Act,1
SEC15,ACT5,Section 155 of Arms Act,1
SEC16,ACT4,Section 103 of POCSO Act,1
SEC17,ACT5,Section 403 of Arms Act,1
SEC18,ACT3,Section 464 of NDPS Act,1
SEC19,ACT2,Section 149 of Information Technology Act,1
SEC20,ACT2,Section 257 of Information Technology Act,1
SEC21,ACT3,Section 131 of NDPS Act,1
SEC22,ACT2,Section 211 of Information Technology Act,1
SEC23,ACT4,Section 114 of POCSO Act,1
SEC24,ACT4,Section 382 of POCSO Act,1
SEC25,ACT1,Section 324 of Indian Penal Code (IPC),1
SEC26,ACT3,Section 326 of NDPS Act,1
SEC27,ACT2,Section 184 of Information Technology Act,1
SEC28,ACT3,Section 495 of NDPS Act,1
SEC29,ACT4,Section 413 of POCSO Act,1
SEC30,ACT1,Section 131 of Indian Penal Code (IPC),1
SEC31,ACT3,Section 350 of NDPS Act,1
SEC32,ACT5,Section 246 of Arms Act,1
SEC33,ACT3,Section 339 of NDPS Act,1
SEC34,ACT5,Section 122 of Arms Act,1
SEC35,ACT1,Section 253 of Indian Penal Code (IPC),1
SEC36,ACT5,Section 446 of Arms Act,1
SEC37,ACT5,Section 260 of Arms Act,1
SEC38,ACT5,Section 255 of Arms Act,1
SEC39,ACT4,Section 141 of POCSO Act,1
SEC40,ACT5,Section 167 of Arms Act,1
SEC41,ACT5,Section 197 of Arms Act,1
SEC42,ACT1,Section 281 of Indian Penal Code (IPC),1
SEC43,ACT5,Section 356 of Arms Act,1
SEC44,ACT3,Section 404 of NDPS Act,1
SEC45,ACT5,Section 488 of Arms Act,1
SEC46,ACT4,Section 434 of POCSO Act,1
SEC47,ACT1,Section 171 of Indian Penal Code (IPC),1
SEC48,ACT4,Section 133 of POCSO Act,1
SEC49,ACT5,Section 386 of Arms Act,1
SEC50,ACT5,Section 242 of Arms Act,1
SEC51,ACT3,Section 433 of NDPS Act,1
SEC52,ACT4,Section 121 of POCSO Act,1
SEC53,ACT2,Section 289 of Information Technology Act,1
SEC54,ACT3,Section 239 of NDPS Act,1
SEC55,ACT3,Section 438 of NDPS Act,1
SEC56,ACT4,Section 338 of POCSO Act,1
SEC57,ACT4,Section 427 of POCSO Act,1
SEC58,ACT1,Section 245 of Indian Penal Code (IPC),1
SEC59,ACT3,Section 497 of NDPS Act,1
SEC60,ACT5,Section 438 of Arms Act,1
SEC61,ACT5,Section 111 of Arms Act,1
SEC62,ACT1,Section 135 of Indian Penal Code (IPC),1
SEC63,ACT5,Section 328 of Arms Act,1
SEC64,ACT3,Section 326 of NDPS Act,1
SEC65,ACT1,Section 347 of Indian Penal Code (IPC),1
SEC66,ACT4,Section 395 of POCSO Act,1
SEC67,ACT1,Section 215 of Indian Penal Code (IPC),1
SEC68,ACT2,Section 198 of Information Technology Act,1
SEC69,ACT2,Section 456 of Information Technology Act,1
SEC70,ACT3,Section 220 of NDPS Act,1
SEC71,ACT1,Section 287 of Indian Penal Code (IPC),1
SEC72,ACT4,Section 288 of POCSO Act,1
SEC73,ACT4,Section 300 of POCSO Act,1
SEC74,ACT4,Section 186 of POCSO Act,1
SEC75,ACT5,Section 209 of Arms Act,1
SEC76,ACT4,Section 258 of POCSO Act,1
SEC77,ACT1,Section 353 of Indian Penal Code (IPC),1
SEC78,ACT5,Section 476 of Arms Act,1
SEC79,ACT3,Section 478 of NDPS Act,1
SEC80,ACT5,Section 200 of Arms Act,1
SEC81,ACT1,Section 411 of Indian Penal Code (IPC),1
SEC82,ACT1,Section 335 of Indian Penal Code (IPC),1
SEC83,ACT4,Section 107 of POCSO Act,1
SEC84,ACT1,Section 392 of Indian Penal Code (IPC),1
SEC85,ACT4,Section 279 of POCSO Act,1
SEC86,ACT2,Section 312 of Information Technology Act,1
SEC87,ACT3,Section 423 of NDPS Act,1
SEC88,ACT5,Section 411 of Arms Act,1
SEC89,ACT5,Section 398 of Arms Act,1
SEC90,ACT1,Section 409 of Indian Penal Code (IPC),1
SEC91,ACT3,Section 163 of NDPS Act,1
SEC92,ACT1,Section 281 of Indian Penal Code (IPC),1
SEC93,ACT5,Section 337 of Arms Act,1
SEC94,ACT3,Section 391 of NDPS Act,1
SEC95,ACT5,Section 352 of Arms Act,1
SEC96,ACT5,Section 110 of Arms Act,1
SEC97,ACT4,Section 404 of POCSO Act,1
SEC98,ACT1,Section 445 of Indian Penal Code (IPC),1
SEC99,ACT5,Section 279 of Arms Act,1
SEC100,ACT4,Section 260 of POCSO Act,1
SEC101,ACT3,Section 495 of NDPS Act,1
SEC102,ACT5,Section 271 of Arms Act,1
SEC103,ACT4,Section 288 of POCSO Act,1
SEC104,ACT3,Section 128 of NDPS Act,1
SEC105,ACT5,Section 394 of Arms Act,1
SEC106,ACT3,Section 447 of NDPS Act,1
SEC107,ACT2,Section 312 of Information Technology Act,1
SEC108,ACT1,Section 321 of Indian Penal Code (IPC),1
SEC109,ACT2,Section 360 of Information Technology Act,1
SEC110,ACT1,Section 418 of Indian Penal Code (IPC),1
SEC111,ACT2,Section 339 of Information Technology Act,1
SEC112,ACT5,Section 110 of Arms Act,1
SEC113,ACT4,Section 326 of POCSO Act,1
SEC114,ACT3,Section 457 of NDPS Act,1
SEC115,ACT4,Section 230 of POCSO Act,1
SEC116,ACT4,Section 174 of POCSO Act,1
SEC117,ACT5,Section 167 of Arms Act,1
SEC118,ACT4,Section 447 of POCSO Act,1
SEC119,ACT1,Section 143 of Indian Penal Code (IPC),1
SEC120,ACT2,Section 394 of Information Technology Act,1
SEC121,ACT4,Section 297 of POCSO Act,1
SEC122,ACT1,Section 224 of Indian Penal Code (IPC),1
SEC123,ACT1,Section 406 of Indian Penal Code (IPC),1
SEC124,ACT3,Section 101 of NDPS Act,1
SEC125,ACT4,Section 257 of POCSO Act,1
SEC126,ACT3,Section 452 of NDPS Act,1
SEC127,ACT4,Section 272 of POCSO Act,1
SEC128,ACT1,Section 206 of Indian Penal Code (IPC),1
SEC129,ACT1,Section 179 of Indian Penal Code (IPC),1
SEC130,ACT5,Section 279 of Arms Act,1
SEC131,ACT3,Section 173 of NDPS Act,1
SEC132,ACT4,Section 395 of POCSO Act,1
SEC133,ACT1,Section 416 of Indian Penal Code (IPC),1
SEC134,ACT2,Section 355 of Information Technology Act,1
SEC135,ACT5,Section 342 of Arms Act,1
SEC136,ACT2,Section 481 of Information Technology Act,1
SEC137,ACT3,Section 112 of NDPS Act,1
SEC138,ACT5,Section 457 of Arms Act,1
SEC139,ACT3,Section 233 of NDPS Act,1
SEC140,ACT1,Section 278 of Indian Penal Code (IPC),1
SEC141,ACT1,Section 489 of Indian Penal Code (IPC),1
SEC142,ACT3,Section 407 of NDPS Act,1
SEC143,ACT4,Section 387 of POCSO Act,1
SEC144,ACT3,Section 466 of NDPS Act,1
SEC145,ACT4,Section 195 of POCSO Act,1
SEC146,ACT4,Section 172 of POCSO Act,1
SEC147,ACT3,Section 233 of NDPS Act,1
SEC148,ACT1,Section 307 of Indian Penal Code (IPC),1
SEC149,ACT1,Section 391 of Indian Penal Code (IPC),1
SEC150,ACT2,Section 296 of Information Technology Act,1
SEC151,ACT5,Section 175 of Arms Act,1
SEC152,ACT4,Section 496 of POCSO Act,1
SEC153,ACT3,Section 386 of NDPS Act,1
SEC154,ACT3,Section 413 of NDPS Act,1
SEC155,ACT1,Section 325 of Indian Penal Code (IPC),1
SEC156,ACT1,Section 203 of Indian Penal Code (IPC),1
SEC157,ACT2,Section 492 of Information Technology Act,1
SEC158,ACT2,Section 394 of Information Technology Act,1
SEC159,ACT4,Section 473 of POCSO Act,1
SEC160,ACT1,Section 190 of Indian Penal Code (IPC),1
SEC161,ACT4,Section 281 of POCSO Act,1
SEC162,ACT1,Section 138 of Indian Penal Code (IPC),1
SEC163,ACT1,Section 485 of Indian Penal Code (IPC),1
SEC164,ACT1,Section 197 of Indian Penal Code (IPC),1
SEC165,ACT1,Section 118 of Indian Penal Code (IPC),1
SEC166,ACT2,Section 128 of Information Technology Act,1
SEC167,ACT1,Section 110 of Indian Penal Code (IPC),1
SEC168,ACT2,Section 398 of Information Technology Act,1
SEC169,ACT4,Section 182 of POCSO Act,1
SEC170,ACT3,Section 411 of NDPS Act,1
SEC171,ACT5,Section 266 of Arms Act,1
SEC172,ACT1,Section 443 of Indian Penal Code (IPC),1
SEC173,ACT4,Section 460 of POCSO Act,1
SEC174,ACT3,Section 105 of NDPS Act,1
SEC175,ACT1,Section 481 of Indian Penal Code (IPC),1
SEC176,ACT5,Section 246 of Arms Act,1
SEC177,ACT1,Section 273 of Indian Penal Code (IPC),1
SEC178,ACT5,Section 333 of Arms Act,1
SEC179,ACT3,Section 189 of NDPS Act,1
SEC180,ACT5,Section 246 of Arms Act,1
SEC181,ACT5,Section 373 of Arms Act,1
